user_screen_name,user_description,text,clean_text,type,pollen_phenology,climate_change,belief,sentiment,causation,direction,science
shannnonmariee,Student studying biological anthropology & bioarchaeology at WMU. Research Assistant. Freelance Photographer. Bartender.,RT @archaeologymag: Fossil pollen and charcoal deposits taken from the Nile Delta have preserved a record of climate catastrophes in...  ...,Fossil pollen and charcoal deposits taken from the Nile Delta have preserved a record of climate catastrophes in,retweet,,,,,,,
NMNH,"Join us as we explore the natural world and our place in it.  
Comment policy: http://si.edu/Termsofuse#user-gen",[Daily Dose of Science] Fossil pollen has much to tell us about Egypt's climate during the era of pyramid building: http://t.co/kc5sqbTD,Daily Dose of Science Fossil pollen has much to tell us about Egypt's climate during the era of pyramid building,organic,,,,,,,
SaffronAdam,Photography/Music/Comedy/Literature/The natural world/Cinematics/Intelligence/Escapism/Tattoos/Health/Cuisine/People/Art/The sky/Winged and wicked things,RT @NMNH: [Daily Dose of Science] Fossil pollen has much to tell us about Egypt's climate during the era of pyramid building: http://t.c ...,NMNH Daily Dose of Science Fossil pollen has much to tell us about Egypt's climate during the era of pyramid building,retweet,,,,,,,
healthjournal,"Sharing health, diet and fitness information from a variety of trusted sources. Don't be shy to ask us for advice or links to information",New jab could relieve your hayfever for weeks - as global warming threatens to extend the pollen season: British... http://t.co/asN6bZ2C,New jab could relieve your hayfever for weeks as global warming threatens to extend the pollen season British,organic,,,,,,,
Amazon_Man,@!,"Climate change will extend hay fever season by six weeks, report warns: Hay fever sufferers face longer pollen s... http://t.co/NjXkp0wq",Climate change will extend hay fever season by six weeks report warns Hay fever sufferers face longer pollen s,organic,,,,,,,
MzKimber25,I love life & I cherish time....,"I made it through the winter, pollen and went from one climate to another and NOW I get sick?? #allergies",I made it through the winter pollen and went from one climate to another and NOW I get sick allergies,organic,,,,,,,
JennyQ,In my own private Idaho. I tweet about everything & nothing. Personal twitter account. I think I love Twitter more than anyone I know.,"@everyonecool combo of global warming, mild winter, hot summer, increased weeds/ragweed/pollen, forest fires -- they said.",combo of global warming mild winter hot summer increased weeds ragweed pollen forest fires they said,reply,,,,,,,
GSUArtSci,The College of Arts and Sciences at Georgia State University,http://t.co/8K42I9KE #GSUArtSci geosciences prof will look at pollen from hundreds of years ago in #uganda to decipher climate,GSUArtSci geosciences prof will look at pollen from hundreds of years ago in uganda to decipher climate,organic,,,,,,,
TanyaGiotti,Work Hard/Play Hard/Love Hard #teamCaribbean #teamItalian #teamFashion #teamFood #teamInteriordesign #teamHealth&wellness #teamWWE #teamJesus,"RT @WebMD: #Allergy sufferers, grab some tissues: Computer modeling shows #global #warming may double the pollen count by 2040: http://t ...",WebMD Allergy sufferers grab some tissues Computer modeling shows global warming may double the pollen count by,retweet,,,,,,,
pookhahare,"history buff, titans and nfl fan, science fiction, marxist of the harpo kind.",RT @sciam: Allergies From Pollen Projected to Intensify With Climate Change http://t.co/VGCDSJEp,Allergies From Pollen Projected to Intensify With Climate Change,retweet,,,,,,,
BuyViagra_,Visit the website to buy Viagra and other ED Drugs with free shipping worldwide.,Allergies From Pollen Projected To Intensify With Climate Change - Huffington Post http://t.co/SmRjV55S #health #news,Allergies From Pollen Projected To Intensify With Climate Change Huffington Post health news,organic,,,,,,,
CraigRosebraugh,"Filmmaker, writer and activist Craig Rosebraugh has been involved in political and environmental causes since the early 1990s.","Hello, Allergies: Global Warming May Double Pollen by 2040
http://t.co/dUZBmoPq",Hello Allergies Global Warming May Double Pollen by,organic,,,,,,,
hairi9a,"IT Guy, who ROCKS!",Allergies From Pollen Projected To Intensify With Climate Change,Allergies From Pollen Projected To Intensify With Climate Change,organic,,,,,,,
GAJazzynurse,"Georgia nurse website. For RN,LPN.or CNA But open to all. For jobs,and any jazz that deals with nursing,especially in Georgia.","Pollen allergies set to worsen with climate change, study says - GlobalPost: Telegraph.co.ukPollen allergies set... http://t.co/BDkcpEbE",Pollen allergies set to worsen with climate change study says GlobalPost Telegraph co ukPollen allergies set,organic,,,,,,,
Becky_Krueger,"PR exec, mom, mediator, pet parent, social media fan. I love family, friends, laughter & Chuck Norris jokes. No day but today!",RT @AllergiesGuide RT @warmingglobehub: Allergies From Pollen Projected To Intensify With Climate Change http://t.co/WLRCOEBc,AllergiesGuide RT Allergies From Pollen Projected To Intensify With Climate Change,organic,,,,,,,
Reivaj17,NA,And this to make it worse. RT @sciam Allergies From Pollen Projected to Intensify With Climate Change http://t.co/7mTtuFqG,And this to make it worse RT Allergies From Pollen Projected to Intensify With Climate Change,organic,,,,,,,
kncpharmacy,Free shipping with a Cash Reward Program on every order.We also carry a wide selection of FDA approved brand names you know and trust.,Global Warming May Double Pollen by 2040 http://t.co/9E8lgeWf,Global Warming May Double Pollen by,organic,,,,,,,
feelhealthynow,We Specialize in fitness & weightloss & We are here to personaly HELP YOU achieve your physical & financial goals!,Global Warming May Double Pollen by 2040: Climate change may lead to a doubling of pollen levels by the ... http://t.co/FHXKdOEC #health,Global Warming May Double Pollen by Climate change may lead to a doubling of pollen levels by the health,organic,,,,,,,
CBressette,"Humanity Advocate - 
Making A Positive Impact -
Peace & Justice Unite Us All -                              News Education & Enjoyment - 
.",RT @ShiCooks: Allergies from Pollen Projected to Intensify with Climate Change http://t.co/x1zRMUF1,ShiCooks Allergies from Pollen Projected to Intensify with Climate Change,retweet,,,,,,,
MiriamETucker,Writer/journalist specializing in medicine/health. Living with type 1 diabetes since 1973.,Oh great. RT @Medscape: Global Warming May Double Pollen by 2040 http://t.co/Vnsmyi0z,Oh great RT Medscape Global Warming May Double Pollen by,organic,,,,,,,
marginoferror,"Software developer with diverse interests.  Tweets re: politics, econ, tech, games, foreign policy etc.",RT @NickKristof: RT @billmckibben: Sci Am: “Climate change will increase pollen production considerably in nr future” http://t.co/MTeDT990,NickKristof RT Sci Am Climate change will increase pollen production considerably in nr future,retweet,,,,,,,
StanWeddle,"Enjoying life, learning, building a better me. KC real estate, paleo lifestyle, gardener, urban activist.","RT @billmckibben: Sci Am: “Climate change will increase pollen production considerably in the near future,” http://t.co/RbvX17Dy",Sci Am Climate change will increase pollen production considerably in the near future,retweet,,,,,,,
tmhol,"Passionate about environmental and social justice. Believes disseminating information to help others learn and be aware is everything. MA raised, CA reside.",RT @WarmingGlobeHub: Allergies From Pollen Projected To Intensify With Climate Change http://t.co/KW2y2EWe,WarmingGlobeHub Allergies From Pollen Projected To Intensify With Climate Change,retweet,,,,,,,
WeeZieInc,Longstreet lost the battle; Longstreet lost the war.,"Yikes. ""Climate change will increase pollen production considerably in the near future."" http://t.co/wLdJbANE",Yikes Climate change will increase pollen production considerably in the near future,organic,,,,,,,
GreenGirrl,"nature lover, birder, public interest attorney, green designer",RT @HuffPostGreen: Climate change projected to worsen pollen allergies http://t.co/81ieD4qY,HuffPostGreen Climate change projected to worsen pollen allergies,retweet,,,,,,,
LuciaGrenna,"Sr. Communications Officer and Program Manager for the World Bank's Connect4Climate (C4C) Global Partnership Program...a campaign, a contest, and a community",“@sciam: Allergies From Pollen Projected to Intensify With Climate Change http://t.co/ycBHPiu8” ouch!,Allergies From Pollen Projected to Intensify With Climate Change ouch,organic,,,,,,,
latexallergyorg,"American Latex Allergy Association,non-profit,mission to educate and support individuals with latex allergy,advocacy",RT @ACAAI: Global Warming May Double Pollen by 2040 http://t.co/mMdebU2s via @WebMD #ACAAI,ACAAI Global Warming May Double Pollen by via WebMD ACAAI,retweet,,,,,,,
C2ES_org,"An independent, nonpartisan, nonprofit organization, C2ES works to promote action & sound policy addressing the challenges of #energy & #climate change","RT @katherineharmon: Another curse of climate change: longer, more intense allergy seasons, as pollen counts skyrocket: http://t.co/B5ej ...",Another curse of climate change longer more intense allergy seasons as pollen counts skyrocket,retweet,,,,,,,
animated31,Graduate of Psychology now working as a Mental Health Technician at the Keys of Carolina.,"GREENExperts warn global warming may double pollen levels and lengthen allergy season by 2040Daaaaaaaammmmmnnnnn",GREEN Experts warn global warming may double pollen levels and lengthen allergy season by Daaaaaaaammmmmnnnnn,organic,,,,,,,
viosanhealth,Viosan Health is the maker of scientifically formulated dietary supplements made with pharmaceutical grade raw materials & Quality Assurance processes.,Global warming may bring pollen onslaught – The Chart - http://t.co/2OFuTFx4 Blogs http://t.co/V6ME0das,Global warming may bring pollen onslaught The Chart Blogs,organic,,,,,,,
allergyguidance,Treat allergy holistically,Global warming may bring pollen onslaught –  http://t.co/jXTAsCJ3,Global warming may bring pollen onslaught,organic,,,,,,,
ThedaCareHealth,Official Twitter Account for ThedaCare a non-profit health provider in Northeastern Wisconsin.,Climate change may not just result in superstorms like Sandy. New research shows pollen counts are rising.... http://t.co/nLSyogbA,Climate change may not just result in superstorms like Sandy New research shows pollen counts are rising,organic,,,,,,,
jacksills,"I volunteer for both Urban Ministry & Red Dog Farm Animal Rescue. My passions in life are playing my guitar, my dog Carly, & landscape photography. Peace!!!",RT @GlobalWarming36: Global warming may bring pollen onslaught - CNN (blog) http://t.co/acGLI4fP,GlobalWarming Global warming may bring pollen onslaught CNN blog,retweet,,,,,,,
PhiladelphiaCP,Philadelphia City And Press,"Global Warming May Double Pollen By 2040: WebMD Medical NewsBy Kathleen DohenyReviewed by Louise Chang, MDNov. 9,... http://t.co/MVb5KNKx",Global Warming May Double Pollen By WebMD Medical NewsBy Kathleen DohenyReviewed by Louise Chang MDNov,organic,,,,,,,
T_Poin,Fitness enthusiast~avid runner~inspired writer~your perfect bartender @barbelles404 ~sports fan~ feisty/loyal LEO~Stevie Wonder's ♥♥That Girl♥♥ #NCATAlumni,"RT @greatfitness: Pollen allergies set to worsen with climate change, study says - GlobalPost: Telegraph.co.ukPollen allergies set... ht ...",Pollen allergies set to worsen with climate change study says GlobalPost Telegraph co ukPollen allergies set ht,retweet,,,,,,,
caufc,"California Urban Forests Council - 
Because trees grow healthy California communities",Allergies From Pollen Projected To Intensify With Climate Change. Will trees be blamed? http://t.co/7VEG3Np3,Allergies From Pollen Projected To Intensify With Climate Change Will trees be blamed,organic,,,,,,,
IrishJayhawk66,Sassy Irish gal/ insatiable movie fan- #TCM /Political opinions are my own & outspoken /Founder of @BigSmileMktg /KU Jayhawk... LOVE my 4 kidlets & hubby!,RT @minamaya13: How Global Warming may affect your allergies. Pollen counts expected to double over next few decades..... &gt;  http://t ...,How Global Warming may affect your allergies Pollen counts expected to double over next few decades gt,retweet,,,,,,,
HOWinnovates,HOW is a cloud-based analytics platform reducing total health spend for employers by proactively navigating employees to appropriate & timely care.,New Heath Risk: Global warming may bring pollen onslaught http://t.co/0GrI5HaE,New Heath Risk Global warming may bring pollen onslaught,organic,,,,,,,
ericrumsey,"mobile, pictures, google, ebooks, responsive, design, ux, librarian, medical, iphone, 

maps, pdf, pattern recognition, meta",Allergies from Pollen Projected to Intensify with Climate Change http://t.co/v58asUvG - @SciAm RT @LibraryLiving,Allergies from Pollen Projected to Intensify with Climate Change SciAm RT LibraryLiving,organic,,,,,,,
PublicHealth,The American Public Health Association works to protect Americans from public health threats. More: @getready @nationshealth @StopDropOut @nphw @APHAAnnualMtg,"Hotter summers, higher sea levels &amp; longer pollen season. What's new in U.S. climate change: 12/13 @EPAGov webinar: http://t.co/bRyUKIrq",Hotter summers higher sea levels amp longer pollen season What's new in U S climate change EPAGov webinar,organic,,,,,,,
erinm81,"cook, baker, crafter, runner, sun-seeker, marquette grad, steelers fan. Tweets are my own.","Sounds terrible...MT @PublicHealth: Hotter summers, higher sea levels &amp; longer pollen season. What's new in U.S. climate change...",Sounds terrible MT PublicHealth Hotter summers higher sea levels amp longer pollen season What's new in U S climate change,organic,,,,,,,
BuyDirectUSAN,BuyDirectUSA News We promote #MadeinUSA #madeinAmerica to create & save #jobs #USManufacturers,RT @AustinAirLtd: Global warming may double pollen count by 2040 http://t.co/pu9ankRY,AustinAirLtd Global warming may double pollen count by,retweet,,,,,,,
zqasqa,Zqas is a free question and answer website,#Allergy #Sufferers #Support http://t.co/j6v8dNDK How can pollen show evidence of climate change?,Allergy Sufferers Support How can pollen show evidence of climate change,organic,,,,,,,
ThatLalaGurl,"Sweet and simple, sassy with spice. Take me as I am. I tweet MY own reality. Southern Arizona girl. #BlessedMama",Hopefully getting used to the climate/pollen takes less time than it did to adjust to Texas. I can't be miserable for another 8 months.,Hopefully getting used to the climate pollen takes less time than it did to adjust to Texas I can't be miserable for another months,organic,,,,,,,
FrackingPA,We care deeply about our environment.,#global-warming: Global warming brings on more pollen - CNN International http://t.co/MT0GDbi2Py,global warming Global warming brings on more pollen CNN International,organic,,,,,,,
NancyParmer,"2011 2nd place #csr Shorty Award Winner! 
     Sustainability, UPS Customer Solutions",Global warming brings on more pollen - http://t.co/RwojUEUTDJ http://t.co/VKqlHOLUyX,Global warming brings on more pollen,organic,,,,,,,
MichelesWeb,Freelance Web Design & Development - Super Low Rates - 23+ Yrs Exp. No outsourcing - Entrepreneur - Web Designer - Programmer - Web Developer,"RT @kaskadia: arrgh :/ #HayFever RT @TheGreenForum #GlobalWarming brings on more #pollen: W/ global warming, temperature extremes.. http ...",arrgh HayFever RT TheGreenForum GlobalWarming brings on more pollen W global warming temperature extremes,retweet,,,,,,,
OWtweets,"OW! is a pr & event firm in NYC known for blending our uptown and downtown sensibilities, strategic pr and great events for fashion, lifestyle & entertainment.",Love reaping all these benefits: Global warming brings on way more pollen via @cnn http://t.co/0I7EZ9HkYU,Love reaping all these benefits Global warming brings on way more pollen via,organic,,,,,,,
Sleep_Europe,"Doxylamine, Donormyl, Dormidina, Unisom, Nytol, Sominex, Sleepless, Insomnia, Fall Asleep Fast
www.doxylamine-donormyl-dormidina-unisom.com","Pollen apocalypse from global warming: With global warming, temperature extremes are becoming a norm -- and th... http://t.co/0djCq7wv4Z",Pollen apocalypse from global warming With global warming temperature extremes are becoming a norm and th,organic,,,,,,,
Credit2Credit,Everything you need to begin repairing your credit today. $$$$ Download our COMPLIMENTARY Quick Credit Repair Guide Today! $$$$,"#green #progress As CO2 Emissions Rise, So Will Pollen Counts And Asthma Attacks: Climate chang... http://t.co/Hb94LiX6VP @credit2credit",green progress As CO Emissions Rise So Will Pollen Counts And Asthma Attacks Climate chang,organic,,,,,,,
axismedia,Knowledge is power. Learn as much as possible. Be kind to others. Protect the environment. Donate to charity. Help others less fortunate. Be open-minded.,"Global warming means more pollen: With global warming, temperature extremes are becoming a norm -- and that's ... http://t.co/8NK4Wv4nVV",Global warming means more pollen With global warming temperature extremes are becoming a norm and that's,organic,,,,,,,
BlogOfficial2,Blog Official Multi-Sites News and Products...,Global warming means more pollen http://t.co/scuyVJqgqH,Global warming means more pollen,organic,,,,,,,
coastaleddyed,Everything about Nutrition and Fitness,Photo: Global warming brings more pollen Temperature extremes are becoming the norm — and that’s bad news... http://t.co/FqUfJhqrEe,Photo Global warming brings more pollen Temperature extremes are becoming the norm and that s bad news,organic,,,,,,,
HealthGossip,"Professional Twitter page of Folashadé Ayanwale
 Public Health Educator for the State of Alabama: Health&Wellness, Psychological, & Fitness",See pollen on your windshield? Global warming brings on more pollen http://t.co/tlbFHMYj0k #environmental #allergies #weather,See pollen on your windshield Global warming brings on more pollen environmental allergies weather,organic,,,,,,,
xoDanielleHayes,Hey! Im Danielle! I am an athletic and musical girl! I love to surf and just chill! Love ya! Follow meeee!,Pollen apocalypse from global warming http://t.co/8aXER3814t,Pollen apocalypse from global warming,organic,,,,,,,
svetlyac,I am a teacher and a healthcare specialist interested in promoting healthy and happy life. You can get a lot of information on Twitter/svetlyac account.,RT @MedicalNews: Global warming brings on pollen http://t.co/926MXPfmfI,MedicalNews Global warming brings on pollen,retweet,,,,,,,
Kel5280,NA,RT @NWF: Global warming brings on more pollen: http://t.co/QAhubBBNmk via @CNN,NWF Global warming brings on more pollen via CNN,retweet,,,,,,,
KeithJonesJr,"Public servant by day, socialite by night! Mr. TIPPER, Social Activist for the LGBT movement, The definition of a MOREHOUSE Man.",Pollen count going up because of global warming. RIP my nose.,Pollen count going up because of global warming RIP my nose,organic,,,,,,,
FreedomSolarNY,FSA is a comprehensive renewable energy corp linking members together to create  green electricity in order to reduce CO2 emissions & mitigate climate change,"""Research also predicts that, as spring arrives earlier due to climate change, pollen seasons will begin earlier as well."" #350 #renewable",Research also predicts that as spring arrives earlier due to climate change pollen seasons will begin earlier as well renewable,organic,,,,,,,
FreedomSolarNY,FSA is a comprehensive renewable energy corp linking members together to create  green electricity in order to reduce CO2 emissions & mitigate climate change,"""Climate change could cause pollen counts to more than double over the next 30 years"" #350 #divest #solarpower http://t.co/XsR3pFTgpx",Climate change could cause pollen counts to more than double over the next years divest solarpower,organic,,,,,,,
topothemountain,driven by a desire to learn more,RT @billmckibben: Scientists: climate change causing much 'longer and more intense pollen production' Ragweed off the charts. Ah-choo ht ...,Scientists climate change causing much 'longer and more intense pollen production' Ragweed off the charts Ah choo ht,retweet,,,,,,,
SinusBuster,NA,"Climate change could cause #pollen counts to more than double over the next 30 years, via a Rutgers University study. http://t.co/aghoZ8kjds",Climate change could cause pollen counts to more than double over the next years via a Rutgers University study,organic,,,,,,,
BoulderDavid,"Writing on a positive future,1st book just published entitled September 2038 Have a Great wife, Traveler,Third World Woman Project Founder","Pollen Count, Allergies On The Rise Thanks To Climate Change http://t.co/dM6khs8BNQ via @HuffPostGreen",Pollen Count Allergies On The Rise Thanks To Climate Change via HuffPostGreen,organic,,,,,,,
EarthKnowledge,Earth Knowledge bridges expert Science & World Information for those who need to use it. Earth Knowledge Portal: World Information in Multimedia & Google Earth.,"UNFCCC: Pollen Count, Allergies On The Rise Thanks To Climate Change: Source: Huffington Post - Spring has... http://t.co/CFiShETher",UNFCCC Pollen Count Allergies On The Rise Thanks To Climate Change Source Huffington Post Spring has,organic,,,,,,,
Allergydc,NA,"As CO2 Emissions Rise, So Will Pollen Counts And Asthma Attacks: Climate change could cause pollen counts to m... http://t.co/WTooCmakkL",As CO Emissions Rise So Will Pollen Counts And Asthma Attacks Climate change could cause pollen counts to m,organic,,,,,,,
NewsShana,"Deputy night editor at the Daily Press. Loves news, running, books, TV and movies. And my dog.","Bad news, allergy sufferers: RT @Daily_Press: Climate change could hike pollen counts, allergy rates http://t.co/mAa81p8SXP",Bad news allergy sufferers RT Daily Press Climate change could hike pollen counts allergy rates,organic,,,,,,,
nyamnitz,"Entrepreneur, Athlete, Motivator, Friend, Brother, & Son. Owner of @STLBodyCoach & COO of @HiNRGFitness. Going 4 #Greatness Everyday. #humble & #hungry",Weather is warming up. Workouts are going great! Just gotta get all of this pollen out of here! #STL #allergies #headthrobbing,Weather is warming up Workouts are going great Just gotta get all of this pollen out of here STL allergies headthrobbing,organic,,,,,,,
CenteredPols,"Sheri Rivlin and Allan Rivlin edit http://CenteredPolitics.com a thoughtful, balanced discussion of politics and public policy. Retweets are not endorsements.",From 'Potent' Pollen to Double Whammy Allergy Seasons: How Climate Change Could Affect Seasonal Allergies - http://t.co/ZmXufrGKF5,From 'Potent' Pollen to Double Whammy Allergy Seasons How Climate Change Could Affect Seasonal Allergies,organic,,,,,,,
BiodiversityNew,"All about biodiversity is here. News, articles and more.",From 'Potent' Pollen to Double Whammy Allergy Seasons: How Climate Change Could Affect Seasonal A... http://t.co/OlukIgHdm2,From 'Potent' Pollen to Double Whammy Allergy Seasons How Climate Change Could Affect Seasonal A,organic,,,,,,,
WileyResearch,"Scientific, technical, medical and scholarly research news from Wiley. Visit our news room at http://www.wiley.com/go/press",How #pollen #fossils may enable reconstruction of past #climate - Journal of Quaternary Science ft. in @NatureNews - http://t.co/6SNHxtsKYe,How pollen fossils may enable reconstruction of past climate Journal of Quaternary Science ft in NatureNews,organic,,,,,,,
TrofosCom,"Greek Organic Delicatessen Marketplace.   

Ethical, traditional, community-based, human-centred market for Greek food lovers around the world.","Busy Bee Detox Juice! Full of belly warming ginger, lemony metabolism boost and bee pollen as an added immune... http://t.co/6ICgkgsNBA",Busy Bee Detox Juice Full of belly warming ginger lemony metabolism boost and bee pollen as an added immune,organic,,,,,,,
worldsnews1,NA,"Climate change linked to more pollen, allergies, asthma http://t.co/OjEZV6yKKY",Climate change linked to more pollen allergies asthma,organic,,,,,,,
Tim_HZ,"Common man that likes the Spurs,Rangers and Titans and the WWE. Love TV too but who doesn't? Yes, My nephew is Cuter than Me.",No Allergies for me.RT @USATODAY: Climate change is linked to more pollen. Have your allergies been (cont) http://t.co/ZxSUAUQtkE,No Allergies for me RT USATODAY Climate change is linked to more pollen Have your allergies been cont,organic,,,,,,,
pdykstra,"Publisher, http://t.co/yYIh43mX and http://t.co/QUDc8rdk  
Opinions, wisecracks are purely my own. RTs do not imply endorsement, it just means it's interesting",http://t.co/3aTtpWpVmi fm @USAToday's @wendykoch Climate &amp; increased pollen/allergies/asthma http://t.co/SJOcpSl4zM,fm USAToday's Climate amp increased pollen allergies asthma,organic,,,,,,,
Evolver_Chicago,⫸☥⫷ E V O L V E  to  S O L V E ⫸☥⫷ evolver.chicago@gmail.com,"""Climate change linked to more pollen, allergies, asthma""

This might explain that stuffy nose. 

Article:  http://t.co/jGxjqwdZ4Z",Climate change linked to more pollen allergies asthma This might explain that stuffy nose Article,organic,,,,,,,
Cocoxochitl,#food & #green shortyawards winner. All things #schoolgarden. @LexiconProject ranter. @MuirRanch teacher. #Dahlia rustler. Asphalt h8r. World's worst sous chef.,"RT @ChristopherNFox: USA Today - #Climate change linked to more pollen, allergies, asthma http://t.co/M2UQnABFtQ",ChristopherNFox USA Today Climate change linked to more pollen allergies asthma,reply,,,,,,,
BethSEGreen,Southeast Green - your trusted resource for green and sustainability business news in the Southeast; US-Heavy Tweeter; Most tweets are not my opinion,"RT @cleanenergyorg: Climate change linked to more pollen, allergies, asthma http://t.co/9TIsP83izC via @USATODAY",Climate change linked to more pollen allergies asthma via USATODAY,organic,,,,,,,
Allergydc,NA,"Climate Change Linked to More Pollen, Allergies, Asthma: More C02 in the air means more plant growth, more pol... http://t.co/OsqEuU1DDy",Climate Change Linked to More Pollen Allergies Asthma More C in the air means more plant growth more pol,organic,,,,,,,
EHPonline,"Official feed of EHP, an NIEHS/NIH journal of research & news on environment & human health. Privacy policy: http://go.usa.gov/YsvB. Content≠endorsement","EHPNoonNews: USA Today—Climate change linked to more pollen, allergies, asthma http://t.co/ewevTIubtK",EHPNoonNews USA Today Climate change linked to more pollen allergies asthma,organic,,,,,,,
LizSzabo,"USA TODAY medical reporter covering cancer, heart disease, pediatrics, public health, women's health, kids/parenting, AIDS, some environmental health.",RT @wendykoch looks at how climate change may be worsening hay fever and allergic asthma. http://t.co/Ho0R5TUSMK #allergy #pollen,looks at how climate change may be worsening hay fever and allergic asthma allergy pollen,organic,,,,,,,
monicaferro,Informavore | Interested in Tech & Culture trends | UX Researcher | HCI Student | Former Radio producer/host | Productivity Geek | Dogs and Gadgets lover | Mind,"Global warming linked to longer pollen season, rise in allergies, asthma http://t.co/UVGkceV5XO via @Circa",Global warming linked to longer pollen season rise in allergies asthma via Circa,organic,,,,,,,
EarthKnowledge,Earth Knowledge bridges expert Science & World Information for those who need to use it. Earth Knowledge Portal: World Information in Multimedia & Google Earth.,"ScienceDaily: Earth &amp; Climate: Flowers: Pistil leads pollen in life-and-death dance: Pollination, essential to... http://t.co/ESS9rhy7m0",ScienceDaily Earth amp Climate Flowers Pistil leads pollen in life and death dance Pollination essential to,organic,,,,,,,
JenniSiri,Spiritual Progressive Liberal 3D Artist Environmentalist and Humanitarian. I support the Occupy Movement.,July 1 News: Allergies Getting Worse? Climate Change Could Cause Pollen Counts To Double By 2040 http://t.co/qZVAgfwKlI,July News Allergies Getting Worse Climate Change Could Cause Pollen Counts To Double By,organic,,,,,,,
Credit2Credit,Everything you need to begin repairing your credit today. $$$$ Download our COMPLIMENTARY Quick Credit Repair Guide Today! $$$$,#business July 1 News: Allergies Getting Worse? Climate Change Could Cause Pollen Counts To Do... http://t.co/JHsI9xvt2j #progress #news,business July News Allergies Getting Worse Climate Change Could Cause Pollen Counts To Do progress news,organic,,,,,,,
zzzbam1,"* Lover of all things green, professional Landscape and Gardener. Jack Russell Terriers my favorite friends. Mother of 3,  Grandmother of two and ggmother 1",RT @colonialdude: “@Lawsonbulk: Climate change could cause pollen counts to double by 2040  http://t.co/XfcolFnpK9”,Lawsonbulk Climate change could cause pollen counts to double by,organic,,,,,,,
CafeNexo,Promoting human rights and grassroots diplomacy.,RT @climateprogress: Climate change could DOUBLE pollen counts by 2040 http://t.co/pu8mjyBFLZ,Climate change could DOUBLE pollen counts by,retweet,,,,,,,
GilCividanes,"Born and Raised in Brooklyn, New York. US HISTORY TEACHER 8th grade in New Jersey.Like History, Political Science, Old Rock N Roll and love to dance",RT @jricole: July 1 News: Allergies Getting Worse? Climate Change Could Cause Pollen Counts To Double By 2040 http://t.co/NUtmDvGXdI via @z…,July News Allergies Getting Worse Climate Change Could Cause Pollen Counts To Double By via,retweet,,,,,,,
